CASRN,SMILES
66-81-9,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1
533-74-4,CN1CSC(=S)N(C)C1
35691-65-7,BrCC(Br)(CCC#N)C#N
94-96-2,CCCC(O)C(CC)CO
26530-20-1,CCCCCCCCN1SC=CC1=O
83-26-1,CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O
117-18-0,[O-][N+](=O)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl
74-84-0,CC
5915-41-3,CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1
137-42-8,[Na+].CNC([S-])=S
593-50-0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO
1702-17-6,OC(=O)C1=C(Cl)C=CC(Cl)=N1
98730-04-2,CC1COC2=C(C=CC=C2)N1C(=O)C(Cl)Cl
1305-78-8,[O--].[Ca++]
107534-96-3,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1
22781-23-3,CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2
741-58-2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
33629-47-9,CCC(C)NC1=C(C=C(C=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
2439-01-2,CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1
54593-83-8,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl
3691-35-8,ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1
105512-06-9,C[C@@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C
81777-89-1,CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O
1134-23-2,CCSC(=O)N(CC)C1CCCCC1
13121-70-5,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1
57966-95-7,CCNC(=O)NC(=O)C(=N\OC)\C#N
121552-61-2,CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1
1194-65-6,ClC1=CC=CC(Cl)=C1C#N
119446-68-3,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1
104653-34-1,OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)SC2=CC=CC=C12
87674-68-8,COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C
82-66-6,O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O
97886-45-8,CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F
55283-68-6,CCN(CC(C)=C)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
60168-88-9,OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=CC=CC=C1Cl
